DemandFractionOfRange,GTHPiLowerBound,GTHPiFlux,ME2Flux,G6PDH2rFlux,GNDFlux,PPPFlux,NaKtFlux,GTHPiBoundBinding
0,0.5,0.5,0.5,0,0,0,2.93556146666672,1
0.1,0.542613368800005,0.542613368800005,0.542613368800267,-1.30840369188192e-13,-1.30840369188192e-13,-1.30840369188192e-13,2.93556146666671,1
0.2,0.58522673760001,0.58522673760001,0.585226737600427,-2.08112736065613e-13,-2.08112736065613e-13,-2.08112736065613e-13,2.93556146666674,1
0.3,0.627840106400015,0.627840106400015,0.627840106400488,-2.36089817470541e-13,-2.36089817470541e-13,-2.36089817470541e-13,2.93556146666675,1
0.4,0.670453475200021,0.670453475200021,0.670453475200288,-1.3350489787637e-13,-1.3350489787637e-13,-1.3350489787637e-13,2.93556146666671,1
0.5,0.713066844000026,0.713066844000026,0.713066844000295,-1.3483608787467e-13,-1.3483608787467e-13,-1.3483608787467e-13,2.93556146666671,1
0.6,0.755680212800031,0.755680212800031,0.750000000000451,0.00284010639978998,0.00284010639978998,0.00284010639978998,2.9346147645334,1
0.7,0.798293581600036,0.798293581600036,0.75,0.024146790800018,0.024146790800018,0.024146790800018,2.92751253640003,1
0.75,0.819600266000039,0.819600266000039,0.75,0.0348001330000193,0.0348001330000193,0.0348001330000193,2.9239614223334,1
0.8,0.840906950400041,0.840906950400041,0.75,0.0454534752000206,0.0454534752000206,0.0454534752000206,2.92041030826665,1
0.9,0.883520319200046,0.883520319200046,0.75,0.0667601596000231,0.0667601596000231,0.0667601596000231,2.91330808013337,1
1,0.926133688000051,0.926133688000051,0.75,0.0880668440000257,0.0880668440000257,0.0880668440000257,2.90620585200003,1
